address,city,zip,bedrooms,bathrooms,floor_size,lot_size,year_built,sale_date,sale_price
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,"5,553 sqft",,Zestimate®,780000.0
 928 Fletcher Ln APT 7, Hayward,94544,2,1,800,None,,"$2,095  /mo",
 685 Dartmore Ln APT 267, Hayward,94544,3,2,1045,None,,"$2,750  /mo",
None,None,None,None,None,None,None,,Zestimate®,539000.0
None,None,None,None,None,None,"5,550 sqft",,Zestimate®,495000.0
None,None,None,None,None,None,None,,None,498000.0
None,None,None,None,None,None,"5,366 sqft",,Zestimate®,849950.0
 22775 Vermont St APT 2, Hayward,94541,2,2,900,None,,"$1,795  /mo",
 22009 Arbor Ave # 22011, Hayward,94541,3,2.5,1200,None,Built in 2005,"$2,600  /mo",
None,None,None,None,None,None,None,,None,248500.0
None,None,None,None,None,None,None,,and up,1118880.0
None,None,None,None,None,None,"5,301 sqft",,Zestimate®,648888.0
None,None,None,None,None,None,"5,227 sqft",,None,789000.0
None,None,None,None,None,None,"5,000 sqft",,Zestimate®,640000.0
 4300 Fraga Rd, Castro Valley,94552,4,2.5,1700,1.28 acres,Built in 1946,"$3,950  /mo",
 700 Old Oak Ln UNIT 4, Hayward,94541,3,2.5,1356,None,,"$3,125  /mo",
 27418 Susan Pl APT 1, Hayward,94544,2,1.5,869,None,Built in 1980,"$2,385  /mo",
 2074 Laguna Dr, Hayward,94545,4,2.5,2000,"4,537 sqft",Built in 1994,"$3,500  /mo",
 2645 Northern Cross Rd, Hayward,94545,2,2.5,1526,None,Built in 2008,"$3,000  /mo",
None,None,None,None,None,None,None,,None,205000.0
None,None,None,None,None,None,"5,784 sqft",,Zestimate®,480000.0
 357 Harris Rd, Hayward,94544,3,2,1150,None,,"$2,850  /mo",
 353 Harris Rd, Hayward,94544,2,1,1000,0.31 acres,Built in 1961,"$2,295  /mo",
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,None,,Zestimate®,558000.0
 536 Bishop Ave, Hayward,94544,3,2,1210,"5,227 sqft",Built in 1955,"$3,000  /mo",
None,None,None,None,None,None,"1,210 sqft",,Zestimate®,575000.0
 Cynthia CtIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent,None,4,2.5,2020,None,,"$3,300  /mo",
 271 Willow Ave, Hayward,94541,2,1,--,None,,"$2,395  /mo",
None,None,None,None,None,None,"5,000 sqft",,Zestimate®,515000.0
None,None,None,None,None,None,"6,098 sqft",,None,549000.0
None,None,None,None,None,None,None,,None,400000.0
 24041 Alice St, Hayward,94541,3,1,1012,"5,100 sqft",Built in 1946,"$3,000  /mo",
 1708 D St, Hayward,94541,3,1,1056,"5,304 sqft",Built in 1924,"$2,800  /mo",
 22694 7th St, Hayward,94541,2,1.5,900,None,Built in 1960,"$2,100  /mo",
 711 Berry Ave APT 113, Hayward,94544,2,1,--,None,Built in 1965,"$2,000  /mo",
None,None,None,None,None,None,None,,Zestimate®,400000.0
None,None,None,None,None,None,"7,405 sqft",,Zestimate®,739999.0
 3 bed, 1150 sqft,None,3,2,1150,None,,"$2,695  /mo",
None,None,None,None,None,None,"3,934 sqft",,Zestimate®,858000.0
None,None,None,None,None,None,None,,None,219000.0
None,None,None,None,None,None,None,,and up,1254880.0
 25386 Uvas Ct, Hayward,94541,3,2,1700,None,Built in 1952,"$3,000  /mo",
None,None,None,None,None,None,"7,845 sqft",,Zestimate®,790000.0
None,None,None,None,None,None,None,,None,
None,None,None,None,None,None,"8,376 sqft",,None,1375000.0
 1275 Sandy Bridges Ct, Hayward,94541,3,2.5,1532,None,,"$2,750  /mo",
 17204 Rogerio St, Hayward,94541,3,2,1350,None,,"$2,999  /mo",
None,None,None,None,None,None,None,,Zestimate®,718888.0
